Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-10-13 17:07:58,false,"Reading - Easy Run","6.26","475","00:45:00","161","173","--","156","161","7:11","6:30","30","34","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:00.00","4","0.0","00:45:00","00:45:00","34","66"
Running,2021-10-12 17:11:47,false,"Reading - Speed Repeats","8.30","685","01:03:00","165","183","--","150","164","7:35","6:26","36","41","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:30.00","20","0.0","01:03:00","01:03:00","34","59"
Running,2021-10-09 16:43:31,false,"Appiano Gentile - Long Easy Run","10.50","845","01:20:03","167","181","--","156","161","7:37","6:57","52","50","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.36","3","0.0","01:19:56","01:20:03","332","348"
Running,2021-10-07 18:04:23,false,"Appiano Gentile - Stride Repeats","4.49","312","00:30:52","152","167","--","158","181","6:52","5:17","25","27","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.82","23","0.0","00:30:51","00:30:52","338","346"
Running,2021-10-06 18:48:37,false,"Appiano Gentile - Easy Run","5.01","363","00:35:04","150","163","--","158","165","7:00","6:19","22","26","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:00.00","3","0.0","00:35:03","00:35:04","334","347"
Running,2021-10-05 18:34:35,false,"Appiano Gentile - Goal Pace Run","6.89","511","00:50:00","154","171","--","158","162","7:15","6:41","32","32","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:00.00","4","0.0","00:50:00","00:50:00","332","348"
Running,2021-10-04 18:35:54,false,"Appiano Gentile - Easy Run","4.51","327","00:30:35","156","178","--","156","173","6:47","5:41","25","27","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:00.00","3","0.0","00:30:27","00:30:35","330","346"
Running,2021-10-02 17:29:23,false,"Appiano Gentile - Long Easy Run","11.77","933","01:28:46","169","178","--","156","161","7:32","6:59","32","32","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:00.01","3","0.0","01:28:45","01:28:46","332","348"
Running,2021-09-30 18:22:48,false,"Appiano Gentile - Progression Run","5.70","434","00:40:00","160","179","--","157","164","7:01","6:15","30","31","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:00.00","4","0.0","00:40:00","00:40:00","332","348"
Running,2021-09-29 18:43:00,false,"Appiano Gentile - Easy Run","4.47","330","00:31:07","155","170","--","157","162","6:58","6:34","21","22","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:00.00","3","0.0","00:31:06","00:31:07","334","347"
Running,2021-09-28 18:32:01,false,"Appiano Gentile - Speed Repeats","7.22","522","00:50:41","160","176","--","158","168","7:01","6:00","23","23","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:30.00","26","0.0","00:50:40","00:50:41","332","348"
Running,2021-09-27 18:09:44,false,"Appiano Gentile - Easy Run","6.68","501","00:45:00","164","182","--","158","166","6:44","6:03","38","41","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:00.00","4","0.0","00:45:00","00:45:00","331","348"
Running,2021-09-25 12:08:06,false,"Reading - Long Easy Run","7.07","599","00:53:53","170","182","--","156","162","7:37","6:37","11","11","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:00.01","2","0.0","00:53:51","00:53:59","35","63"
Running,2021-09-23 17:48:35,false,"Reading - Stride Repeats","4.20","291","00:28:48","154","170","--","157","184","6:52","4:41","25","29","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:07.62","19","0.0","00:28:47","00:28:48","35","60"
Running,2021-09-22 17:48:37,false,"Reading - Easy Run","6.43","486","00:45:00","159","176","--","157","162","7:00","6:17","12","14","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:00.00","4","0.0","00:45:00","00:45:00","26","63"
